legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
Grassini Sarfatti,,,person,Margherita,Grassini Sarfatti,"Grassini Sarfatti, Margherita, scrittrice, (Venezia 1880 - Cavallasca 1961)",SIUSA,,,1880 apr 08,1961 ott 30,luogo di nascita,Venezia,luogo di nascita,Venezia,"Giornalista, militante politica, scrittrice, critica d'arte e promotrice di cultura",,,femminile,ca-416237
Margherita,,,,,,,,,,,,,,luogo di morte,Cavallasca (Como),,,,,
"Grassini Sarfatti, Margherita, scrittrice, (Venezia 1880 - Cavallasca 1961)",,,,,,,,,,,,,,,,,,,,
Ghidini,"Ghidini Denza, Tullia",,person,Tullia,Ghidini,"Ghidini Denza, Tullia, collezionista, (Rezzato 1921 - Brescia 2012)",SIUSA,,,1921 apr 16,2012 feb 20,luogo di nascita,Rezzato (Brescia),luogo di nascita,Rezzato (Brescia),"Collezionista, promotrice culturale.",,,femminile,ca-416238
Tullia,,,,,,,,,,,,,,luogo di morte,Brescia,,,,,
"Ghidini Denza, Tullia, collezionista, (Rezzato 1921 - Brescia 2012)",,,,,,,,,,,,,,,,,,,,
"Ghidini Denza, Tullia",,,,,,,,,,,,,,,,,,,,
"Denza, Tullia",,,,,,,,,,,,,,,,,,,,
Danon,,,person,Betty,Danon,"Danon, Betty, artista, (Istanbul 1927 - Milano 2002)",SIUSA,,,1927,2002 apr 23,luogo di nascita,Istanbul,luogo di nascita,Istanbul,"Artista, promotrice culturale",,,femminile,ca-416294
Betty,,,,,,,,,,,,,,luogo di morte,Milano,,,,,
"Danon, Betty, artista, (Istanbul 1927 - Milano 2002)",,,,,,,,,,,,,,,,,,,,
Bittanti,,,person,Ernesta,Bittanti,"Bittanti Battisti, Ernesta, intellettuale, (Brescia 1871 - Trento 1957)",SIUSA,,,1871 mag 05,1957 ott 05,luogo di nascita,Brescia,luogo di nascita,Brescia,"insegnante, giornalista, scrittrice, politico",,,femminile,ca-416309
Ernesta,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
e.b.b.; Viatrix; Fides; pathos; un cittadino socialista; Il quaresimalista,,,,,,,,,,,,,,,,,,,,
"Bittanti Battisti, Ernesta, intellettuale, (Brescia 1871 - Trento 1957)",,,,,,,,,,,,,,,,,,,,
Battisti,,,person,Cesare,Battisti,"Battisti, Cesare, giornalista, geografo, politico, (Trento 1875 - Trento 1916)",SIUSA,,,1875 feb 04,1916 lug 12,luogo di nascita,Trento,luogo di nascita,Trento,"Patriota, giornalista, geografo, politico socialista e irredentista italiano",,,maschile,ca-416309
Cesare,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Battisti, Cesare, giornalista, geografo, politico, (Trento 1875 - Trento 1916)",,,,,,,,,,,,,,,,,,,,
Rizzi,Rizzi Beatrice,,person,Bice,Rizzi,"Rizzi, Bice, (San Bernardo 1894 - Trento 1982)",SIUSA,,,1894 ago 26,1982 apr 27,luogo di nascita,San Bernardo di Rabbi (Trento),luogo di nascita,San Bernardo di Rabbi (Trento),"Irredentista
Direttrice del Museo del Risorgimento e della lotta per la libertà di Trento",,,femminile,ca-416301
Bice,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Rizzi, Bice, (San Bernardo 1894 - Trento 1982)",,,,,,,,,,,,,,,,,,,,
"Rizzi, Beatrice, (San Bernardo di Rabbi 1894 - Trento 1982)",,,,,,,,,,,,,,,,,,,,
Rizzi Beatrice,,,,,,,,,,,,,,,,,,,,
Pedrotti,,,person,Maria,Pedrotti,"Pedrotti Regazzola, Maria, (Trento 1904 - Trento 1987)",SIUSA,,,1904,1987,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-416311
Maria,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Pedrotti Regazzola, Maria, (Trento 1904 - Trento 1987)",,,,,,,,,,,,,,,,,,,,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,maschile,ca-416311
Luigi,,,,,,,,,,,,,,luogo di morte,Brescia,,,,,
"Regazzola, Luigi, (Este 1889 - Brescia 1950)",,,,,,,,,,,,,,,,,,,,
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,ca-416315
"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",,,,,,,,,,,,,,,,,,,,
Fabbrica Tabacchi di Rovereto,,,,,,,,,,,,,,,,,,,,
Ente Tabacchi Italiano - ETI di Rovereto,,,,,,,,,,,,,,,,,,,,
British American Tobacco Italia s.p.a. di Rovereto,,,,,,,,,,,,,,,,,,,,
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,femminile,ca-416333
Andreina,,,,,,,,,,,,,,luogo di morte,Capo Nord (Norvegia),,,,,
"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",,,,,,,,,,,,,,,,,,,,
Emeri Andreina,,,,,,,,,,,,,,,,,,,,
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri,Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-416357
"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",,,,,,,,,,,,,,,,,,,,
"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano, Bolzano, 1973 -",,,,,,,,,,,,,,,,,,,,
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,,,,,,,,,,,,,,,,,,,,
Gruppo Aleksandra Kollontaj,,,corporateBody,,,"Gruppo Alessandra Kollontaj, Bolzano, 1970 - 1984",SIUSA,1970,1984,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-416357
"Gruppo Alessandra Kollontaj, Bolzano, 1970 - 1984",,,,,,,,,,,,,,,,,,,,
Centro Interculturale delle Donne - CID di Bolzano,,,corporateBody,,,"Centro interculturale delle Donne - CID di Bolzano, Bolzano, 2004 -",SIUSA,2004,,,,Sede,Bolzano,Sede,Bolzano,,pubblico,"ente di cultura, ricreativo, sportivo, turistico",,ca-416509
"Centro interculturale delle Donne - CID di Bolzano, Bolzano, 2004 -",,,,,,,,,,,,,,,,,,,,
"Interkulturelles Frauenzentrum - IFZ  Bozen, Bozen, 2004 -",,,,,,,,,,,,,,,,,,,,
Centro di Documentazione e Informazione della Donna di Bolzano,,,corporateBody,,,"Centro di Documentazione e Informazione della Donna, Bolzano, 1984 -",SIUSA,1984,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-416517
"Centro di Documentazione e Informazione della Donna, Bolzano, 1984 -",,,,,,,,,,,,,,,,,,,,
Battisti,,,person,Livia,Battisti,"Battisti, Livia, insegnante, politico, (Trento 1907 - Trento 1978)",SIUSA,,,1907 feb 26,1978 set 09,luogo di nascita,Trento,luogo di nascita,Trento,insegnante,,,femminile,ca-416309
Livia,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Battisti, Livia, insegnante, politico, (Trento 1907 - Trento 1978)",,,,,,,,,,,,,,,,,,,,
Centro italiano femminile - CIF provinciale di Trento,,,corporateBody,,,"Centro italiano femminile - CIF provinciale di Trento, Trento, 1955 -",SIUSA,1955,,,,Sede,Trento,Sede,Trento,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-486284
"Centro italiano femminile - CIF provinciale di Trento, Trento, 1955 -",,,,,,,,,,,,,,,,,,,,
Coordinamento Donne di Trento,,,corporateBody,,,"Coordinamento Donne di Trento, Trento, 1983 -",SIUSA,1983,,,,Sede,Trento,Sede,Trento,,privato,ente di assistenza e beneficenza,,ca-417656
"Coordinamento Donne di Trento, Trento, 1983 -",,,,,,,,,,,,,,,,,,,,
Soroptimist International Club di Trento,,,corporateBody,,,"Soroptimist International Club di Trento, Trento, 1987 -,",SIUSA,1987 set 19,,,,Sede,Trento,Sede,Trento,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-417672
"Soroptimist International Club di Trento, Trento, 1987 -,",,,,,,,,,,,,,,,,,,,,
Forum delle donne,,,corporateBody,,,"Forum delle donne, Bolzano, 1998 - 2006",SIUSA,1998 nov 24,2006,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-486535
"Forum delle donne, Bolzano, 1998 - 2006",,,,,,,,,,,,,,,,,,,,
Kerer,,,person,Hilde,Kerer,"Kerer Hilde, (Bressanone 1919 - )",SIUSA,,,,,luogo di nascita,Bressanone,luogo di nascita,Bressanone,,,,femminile,ca-487105
Hilde,,,,,,,,,,,,,,,,,,,,
"Kerer Hilde, (Bressanone 1919 - )",,,,,,,,,,,,,,,,,,,,
Gnecchi,,,person,Marialuisa,Gnecchi,"Gnecchi, Marialuisa, (Bolzano 1953 - )",SIUSA,,,,,luogo di nascita,Bolzano,luogo di nascita,Bolzano,sindacalista,,,femminile,ca-487278
Marialuisa,,,,,,,,,,,,,,,,,,,,
"Gnecchi, Marialuisa, (Bolzano 1953 - )",,,,,,,,,,,,,,,,,,,,
Chiocchetti,,,person,Emilio,Chiocchetti,"Chiocchetti, Emilio, filosofo, sacerdote, (Moena 1880 - Moena 1951)",SIUSA,,,1880 set 20,1951 lug 27,luogo di nascita,Moena (Trento),luogo di nascita,Moena (Trento),"filosofo, sacerdote",,,maschile,ca-487907
Emilio,,,,,,,,,,,,,,luogo di morte,Moena (Trento),,,,,
"Chiocchetti, Emilio, filosofo, sacerdote, (Moena 1880 - Moena 1951)",,,,,,,,,,,,,,,,,,,,
Società degli alpinisti tridentini - SAT,Società alpina del Trentino,1872/09/02 - 1877/04/30,corporateBody,,,"Società degli alpinisti tridentini - SAT, Trento, 1877 -",SIUSA,1872 set 02,,,,Sede,Trento,Sede,Trento,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-593879
"Società degli alpinisti tridentini - SAT, Trento, 1877 -",,,,,,,,,,,,,,,,,,,,
"Società alpina del Trentino, Trento, 1872 - 1877",,,,,,,,,,,,,,,,,,,,
Società alpina del Trentino,,,,,,,,,,,,,,,,,,,,
Archivio storico delle donne - Bolzano,,,corporateBody,,,"Archivio storico delle donne - Bolzano, Bolzano, 2003 -",SIUSA,2003,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-513207
"Archivio storico delle donne - Bolzano, Bolzano, 2003 -",,,,,,,,,,,,,,,,,,,,
Langer,,,person,Alexander,Langer,"Langer, Alexander, politico, insegnante, (Vipiteno 1946 - Firenze 1995)",SIUSA,,,1946 feb 22,1995 lug 03,luogo di nascita,Vipiteno (BZ),luogo di nascita,Vipiteno (BZ),Insegnante,,,maschile,ca-521783
Alexander,,,,,,,,,,,,,,luogo di morte,Firenze,,,,,
"Langer, Alexander, politico, insegnante, (Vipiteno 1946 - Firenze 1995)",,,,,,,,,,,,,,,,,,,,
Tambosi,,,person,Antonio,Tambosi,"Tambosi, Antonio, amministratore locale, deputato, (Trento 1853 - Trento 1921)",SIUSA,,,1853 lug 27,1921 feb 06,luogo di nascita,Trento,luogo di nascita,Trento,"amministratore locale, deputato",,,maschile,ca-522474
Antonio,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Tambosi, Antonio, amministratore locale, deputato, (Trento 1853 - Trento 1921)",,,,,,,,,,,,,,,,,,,,
Centro di studi alpini di Trento,Centro di studi alpini del Consiglio Nazionale delle Ricerche,1946 - [1964],corporateBody,,,"Centro di studi alpini di Trento, Trento, 1946 - [1964]",SIUSA,1946,1964,,,Sede,Trento,Sede,Trento,,pubblico,"ente di cultura, ricreativo, sportivo, turistico",,ca-522276
"Centro di studi alpini di Trento, Trento, 1946 - [1964]",,,,,,,,,,,,,,,,,,,,
Centro di studi alpini del Consiglio Nazionale delle Ricerche,,,,,,,,,,,,,,,,,,,,
Parrocchia dei Santi Filippo e Giacomo di Predazzo,,,corporateBody,,,"Parrocchia dei Santi Filippo e Giacomo di Predazzo, Predazzo (Trento), 1876 -",SIUSA,1876 set 21,,,,Sede,Predazzo (Trento),Sede,Predazzo (Trento),,enti di culto,ente e associazione della chiesa cattolica,,ca-522340
"Parrocchia dei Santi Filippo e Giacomo di Predazzo, Predazzo (Trento), 1876 -",,,,,,,,,,,,,,,,,,,,
Curazia dei Santi Filippo e Giacomo di Predazzo,,,corporateBody,,,"Curazia dei Santi Filippo e Giacomo di Predazzo, Predazzo (Trento), 1382 - 1876",SIUSA,1382 lug 28,1876 set 20,,,Sede,Predazzo (Trento),Sede,Predazzo (Trento),,enti di culto,ente e associazione della chiesa cattolica,,ca-522340
"Curazia dei Santi Filippo e Giacomo di Predazzo, Predazzo (Trento), 1382 - 1876",,,,,,,,,,,,,,,,,,,,
Menestrina,,,person,Francesco,Menestrina,"Menestrina, Francesco, docente universitario, avvocato erariale, (Trento 1872 - Trento 1961)",SIUSA,,,1872 mar 28,1961 apr 11,luogo di nascita,Trento,luogo di nascita,Trento,"docente universitario, avvocato erariale, membro di associazioni e partiti",,,maschile,ca-522349
Francesco,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Menestrina, Francesco, docente universitario, avvocato erariale, (Trento 1872 - Trento 1961)",,,,,,,,,,,,,,,,,,,,
Parrocchia Natività di Maria di Borgo Valsugana,,,corporateBody,,,"Parrocchia Natività di Maria di Borgo Valsugana, Borgo Valsugana (Trento), 1726 -",SIUSA,sec. XI,,,,Sede,Borgo Valsugana (Trento),Sede,Borgo Valsugana (Trento),,enti di culto,ente e associazione della chiesa cattolica,,ca-522347
"Parrocchia Natività di Maria di Borgo Valsugana, Borgo Valsugana (Trento), 1726 -",,,,,,,,,,,,,,,,,,,,
Miorandi,"Sorgenti, Nino",,person,Luigi,Miorandi,"Miorandi, Luigi, letterato, (Rovereto 1893 - Rovereto 1977)",SIUSA,,,1893 lug 29,1977 apr 04,luogo di nascita,Rovereto (Trento),luogo di nascita,Rovereto (Trento),"letterato, socio dell’Accademia roveretana degli Agiati",,,maschile,ca-522383
Luigi,,,,,,,,,,,,,,luogo di morte,Rovereto (Trento),,,,,
"Miorandi, Luigi, letterato, (Rovereto 1893 - Rovereto 1977)",,,,,,,,,,,,,,,,,,,,
"Sorgenti, Nino, letterato, (Rovereto 1893 - Rovereto 1977)",,,,,,,,,,,,,,,,,,,,
"Sorgenti, Nino",,,,,,,,,,,,,,,,,,,,
Accademia roveretana degli Agiati,,,corporateBody,,,"Accademia roveretana degli Agiati, Rovereto (Trento), 1750 -",,1750,,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-522471
"Accademia roveretana degli Agiati, Rovereto (Trento), 1750 -",,,,,,,,,,,,,,,,,,,,
Granello,,,person,Luigi,Granello,"Granello, Luigi, insegnante, politico, (Condino 1880 - Trento 1967)",SIUSA,,,1880 lug 22,1967 mar 08,luogo di nascita,Condino (Trento),luogo di nascita,Condino (Trento),"insegnante, politico",,,maschile,ca-522472
Luigi,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Granello, Luigi, insegnante, politico, (Condino 1880 - Trento 1967)",,,,,,,,,,,,,,,,,,,,
Tambosi,,,person,Giovanni Battista,Tambosi,"Tambosi, Giovanni Battista, imprenditore, politico, deputato, (Trento 1821 - Trento 1900)",SIUSA,,,1821 apr 27,1900 feb 26,luogo di nascita,Trento,luogo di nascita,Trento,"Imprenditore, politico, deputato",,,maschile,ca-522474
Giovanni Battista,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Tambosi, Giovanni Battista, imprenditore, politico, deputato, (Trento 1821 - Trento 1900)",,,,,,,,,,,,,,,,,,,,
Battisti,Battisti Luigi,,person,Gigino,Battisti,"Battisti Gigino, politico, antifascista, membro dell’Assemblea Costituente, (Trento 1901 - Sessa Aurunca 1946)",SIUSA,,,1901 apr 07,1946 dic 14,luogo di nascita,Trento,luogo di nascita,Trento,"Politico, antifascista, membro dell’Assemblea Costituente",,,maschile,ca-416309
Gigino,,,,,,,,,,,,,,luogo di morte,Sessa Aurunca (Caserta),,,,,
"Battisti Gigino, politico, antifascista, membro dell’Assemblea Costituente, (Trento 1901 - Sessa Aurunca 1946)",,,,,,,,,,,,,,,,,,,,
"Battisti Luigi, politico, antifascista, membro dell’Assemblea Costituente, (Trento 1901 - Sessa Aurunca 1946)",,,,,,,,,,,,,,,,,,,,
Battisti Luigi,,,,,,,,,,,,,,,,,,,,
Conci,,,person,Enrico,Conci,"Conci, Enrico, senatore, (Trento 1866 - Trento 1960)",SIUSA,,,1866 giu 24,1960 mar 25,luogo di nascita,Trento,luogo di nascita,Trento,"Politico, deputato della Camera di Vienna e della Dieta di Innsbruck, senatore del Regno d’Italia e della Repubblica Italiana",,,maschile,ca-522475
Enrico,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Conci, Enrico, senatore, (Trento 1866 - Trento 1960)",,,,,,,,,,,,,,,,,,,,
Conci,,,person,Elsa,Conci,"Conci, Elsa, insegnante, politico, (Trento 1895 - Mollaro di Predaia 1965)",SIUSA,,,1895 mar 23,1965 nov 01,luogo di nascita,Trento,luogo di nascita,Trento,"Insegnante, membro del partito della Democrazia Cristiana, deputato dell’Assemblea Costituente",,,femminile,ca-522475
Elsa,,,,,,,,,,,,,,luogo di morte,Mollaro di Predaia (Trento),,,,,
"Conci, Elsa, insegnante, politico, (Trento 1895 - Mollaro di Predaia 1965)",,,,,,,,,,,,,,,,,,,,
Pedrotti,,,person,Giovanni,Pedrotti,"Pedrotti, Giovanni, possidente, (Rovereto 1867 - Andalo 1938)",SIUSA,,,1867 mag 26,1938 lug 15,luogo di nascita,Rovereto (Trento),luogo di nascita,Rovereto (Trento),"possidente, fotografo dilettante",,,maschile,ca-522510
Giovanni,,,,,,,,,,,,,,luogo di morte,Andalo (Trento),,,,,
"Pedrotti, Giovanni, possidente, (Rovereto 1867 - Andalo 1938)",,,,,,,,,,,,,,,,,,,,
Comitato diocesano per l’azione cattolica di Trento,,,corporateBody,,,"Comitato diocesano per l’azione cattolica di Trento, Trento, 1898 - 1924",SIUSA,1898,1924 mag 15,,,Sede,Trento,Sede,Trento,,privato,ente e associazione della chiesa cattolica,,ca-522519
"Comitato diocesano per l’azione cattolica di Trento, Trento, 1898 - 1924",,,,,,,,,,,,,,,,,,,,
Azione cattolica italiana - ACI. Giunta diocesana della sezione di Trento,,,corporateBody,,,"Azione cattolica italiana - ACI. Giunta diocesana della sezione di Trento, Trento, 1924 -",SIUSA,1924 mag 15,,,,Sede,Trento,Sede,Trento,,privato,ente e associazione della chiesa cattolica,,ca-522520
"Azione cattolica italiana - ACI. Giunta diocesana della sezione di Trento, Trento, 1924 -",,,,,,,,,,,,,,,,,,,,
Magnifica Comunità di Fiemme,,,corporateBody,,,"Magnifica Comunità di Fiemme, Cavalese (Trento), 1111 -",SIUSA,1111,,,,Sede,Cavalese (Trento),Sede,Cavalese (Trento),,pubblico,ente funzionale territoriale,,ca-522553
"Magnifica Comunità di Fiemme, Cavalese (Trento), 1111 -",,,,,,,,,,,,,,,,,,,,
Seminario maggiore arcivescovile di Trento,Seminario degli alunni,,corporateBody,,,"Seminario maggiore arcivescovile di Trento, Trento, 1593 -",SIUSA,1593,,,,Sede,Trento,Sede,Trento,,enti di culto,ente e associazione della chiesa cattolica,,ca-522554
"Seminario maggiore arcivescovile di Trento, Trento, 1593 -",,,,,,,,,,,,,,,,,,,,
Seminario degli alunni,,,,,,,,,,,,,,,,,,,,
Seminario teologico,,,,,,,,,,,,,,,,,,,,
Tolomei,,,person,Ettore,Tolomei,"Tolomei, Ettore, senatore, letterato, giornalista, (Rovereto 1865 - Roma 1952)",SIUSA,,,1865 ago 16,1952 mag 25,luogo di nascita,Rovereto (Trento),luogo di nascita,Rovereto (Trento),"Giornalista, senatore del Regno d’Italia, letterato, irredentista, nazionalista",,,maschile,ca-522593
Ettore,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Tolomei, Ettore, senatore, letterato, giornalista, (Rovereto 1865 - Roma 1952)",,,,,,,,,,,,,,,,,,,,
Democrazia cristiana - DC. Comitato regionale del Trentino-Alto Adige,,,corporateBody,,,"Democrazia cristiana - DC. Comitato regionale del Trentino-Alto Adige, Trento, 1946 - 1994",SIUSA,1946,1994,,,Sede,Trento,Sede,Trento,,privato,"partito politico, organizzazione sindacale",,ca-522633
"Democrazia cristiana - DC. Comitato regionale del Trentino-Alto Adige, Trento, 1946 - 1994",,,,,,,,,,,,,,,,,,,,
Democrazia cristiana - DC. Comitato provinciale di Trento,,,corporateBody,,,"Democrazia cristiana - DC. Comitato provinciale di Trento, Trento, 1945 - 1994",SIUSA,1945,1994,,,Sede,Trento,Sede,Trento,,privato,"partito politico, organizzazione sindacale",,ca-522634
"Democrazia cristiana - DC. Comitato provinciale di Trento, Trento, 1945 - 1994",,,,,,,,,,,,,,,,,,,,
Curazia di San Giacomo di Comano Terme,,,corporateBody,,,"Curazia di San Giacomo di Comano Terme, Comano Terme (Trento), 1788 - [1997]",SIUSA,1788,1997,,,Sede,Comano Terme (Trento),Sede,Comano Terme (Trento),,enti di culto,ente e associazione della chiesa cattolica,,ca-522656
"Curazia di San Giacomo di Comano Terme, Comano Terme (Trento), 1788 - [1997]",,,,,,,,,,,,,,,,,,,,
Ciccolini,Cicolini Giovanni,,person,Giovanni,Ciccolini,"Ciccolini, Giovanni, insegnante, archivista, politico, (Terzolas 1876 - Terzolas 1949)",SIUSA,,,1876 nov 06,1949 feb 06,luogo di nascita,Terzolas (Trento),luogo di nascita,Terzolas (Trento),"Insegnante, archivista, politico",,,maschile,ca-522672
Giovanni,,,,,,,,,,,,,,luogo di morte,Terzolas (Trento),,,,,
"Ciccolini, Giovanni, insegnante, archivista, politico, (Terzolas 1876 - Terzolas 1949)",,,,,,,,,,,,,,,,,,,,
"Cicolini, Giovanni, insegnante, archivista, politico, (Terzolas 1876 - Terzolas 1949)",,,,,,,,,,,,,,,,,,,,
Cicolini Giovanni,,,,,,,,,,,,,,,,,,,,
Dalvit,,,person,Luigi,Dalvit,"Dalvit, Luigi, insegnante, politico, (Trento 1921 - Trento 1981)",SIUSA,,,1921 feb 23,1981 mar 04,luogo di nascita,Trento,luogo di nascita,Trento,"insegnante, politico",,,maschile,ca-522673
Luigi,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Dalvit, Luigi, insegnante, politico, (Trento 1921 - Trento 1981)",,,,,,,,,,,,,,,,,,,,
Museo storico in Trento,Museo trentino del Risorgimento,1923 - 1945,corporateBody,,,"Museo storico in Trento, Trento, 1923 -",SIUSA,1923,,,,Sede,Trento,Sede,Trento,,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-599857
"Museo storico in Trento, Trento, 1923 -",,,,,,,,,,,,,,,,,,,,
Museo trentino del Risorgimento,,,,,,,,,,,,,,,,,,,,
Museo del Risorgimento e della lotta per la libertà,,,,,,,,,,,,,,,,,,,,
Museo storico italiano della guerra di Rovereto,,,corporateBody,,,"Museo storico italiano della guerra di Rovereto, Rovereto (Trento) 1921 -",SIUSA,1921,,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-522675
"Museo storico italiano della guerra di Rovereto, Rovereto (Trento) 1921 -",,,,,,,,,,,,,,,,,,,,
La Nostra Autonomia. Comitato redazionale,,,corporateBody,,,"La Nostra Autonomia. Comitato redazionale, Rovereto (Trento), 1946 - 1948",SIUSA,1946 ago 10,1948 mag 13,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,,,ca-522676
"La Nostra Autonomia. Comitato redazionale, Rovereto (Trento), 1946 - 1948",,,,,,,,,,,,,,,,,,,,
Opera Campana dei caduti di Rovereto,Fondazione Campana dei caduti di Rovereto,1968 -,corporateBody,,,"Opera Campana dei caduti di Rovereto, Rovereto (Trento), 1921 - 1968",SIUSA,1921,,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,"ente di cultura, ricreativo, sportivo, turistico",,ca-522677
"Opera Campana dei caduti di Rovereto, Rovereto (Trento), 1921 - 1968",,,,,,,,,,,,,,,,,,,,
"Fondazione Campana dei caduti di Rovereto, Rovereto (Trento), 1968 -",,,,,,,,,,,,,,,,,,,,
Fondazione Campana dei caduti di Rovereto,,,,,,,,,,,,,,,,,,,,
Capitolo della cattedrale di San Vigilio di Trento,,,corporateBody,,,"Capitolo della cattedrale di San Vigilio di Trento, Trento, [927] -",SIUSA,927,,,,Sede,Trento,Sede,Trento,,enti di culto,ente e associazione della chiesa cattolica,,ca-522678
"Capitolo della cattedrale di San Vigilio di Trento, Trento, [927] -",,,,,,,,,,,,,,,,,,,,
Curia vescovile di Trento,,,corporateBody,,,"Curia vescovile di Trento, Trento, sec. IV metà -",SIUSA,sec. IV metà,,,,Sede,Trento,Sede,Trento,,enti di culto,ente e associazione della chiesa cattolica,,ca-522755
"Curia vescovile di Trento, Trento, sec. IV metà -",,,,,,,,,,,,,,,,,,,,
Zenatti,,,person,Albino,Zenatti,"Zenatti, Albino, erudito, storico, letterato, (Trieste 1859 - Roma 1915)",SIUSA,,,1859 dic 09,1915 ago 06,luogo di nascita,Trieste,luogo di nascita,Trieste,"letterato, storico, erudito",,,maschile,ca-522763
Albino,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Zenatti, Albino, erudito, storico, letterato, (Trieste 1859 - Roma 1915)",,,,,,,,,,,,,,,,,,,,
Biblioteca civica G. Tartarotti di Rovereto,,,corporateBody,,,"Biblioteca civica G. Tartarotti di Rovereto, Rovereto (Trento), 1764 -",SIUSA,1764,,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,pubblico,"ente di cultura, ricreativo, sportivo, turistico",,ca-522764
"Biblioteca civica G. Tartarotti di Rovereto, Rovereto (Trento), 1764 -",,,,,,,,,,,,,,,,,,,,
Convento di San Francesco di Borgo Valsugana,,,corporateBody,,,"Convento di San Francesco di Borgo Valsugana, Borgo Valsugana (Trento), 1603 - 2015",SIUSA,1603,2015,,,Sede,Borgo Valsugana (Trento),Sede,Borgo Valsugana (Trento),,enti di culto,ente e associazione della chiesa cattolica,,ca-522773
"Convento di San Francesco di Borgo Valsugana, Borgo Valsugana (Trento), 1603 - 2015",,,,,,,,,,,,,,,,,,,,
Provincia tridentina San Vigilio dei frati minori,Provincia tridentina di San Vigilio,,corporateBody,,,"Provincia tridentina San Vigilio dei frati minori, Trento, 1643 - 2016",SIUSA,1643,2016,,,Sede,Trento,Sede,Trento,,enti di culto,ente e associazione della chiesa cattolica,,ca-522775
"Provincia tridentina San Vigilio dei frati minori, Trento, 1643 - 2016",,,,,,,,,,,,,,,,,,,,
