legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,history,genere,relazione_complesso,relazione_tema,relazione_bib
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
"Magistrato politico economico di Trento, Trento, 1825 - 1949",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
"Magistrato civico di Trento, Trento, 1814 - 1825",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato civico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato civico di Trento, Trento, 1814 - 1825",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
"Commissione provinciale patrioti di Trento, Trento, 1946",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
"Ufficio provinciale patrioti di Trento, Trento, 1945",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Ufficio provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Ufficio provinciale patrioti di Trento, Trento, 1945",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Rete Parri,
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN provinciale di Trento,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Trento, Trento, 1945 - 1946",SIUSA,1945 apr 30,1946 lug,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Rete Parri,"Il Comitato provinciale di liberazione nazionale di Trento. Inventario dell'archivio e verbali di seduta (1945-1946), a cura di S. BENVENUTI, Trento, Fondazione Museo storico del Trentino, 2010"
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,stato,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Levico,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Levico, Levico (Trento), 1945 - 1946",SIUSA,1945 mag,1946,,,Sede,Levico (Trento),Sede,Levico (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Rete Parri,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,stato,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Comitato di liberazione nazionale - CLN di Sanzeno,,,corporateBody,,,"Comitato di liberazione nazionale - CLN provinciale di Sanzeno, Sanzeno (Trento), 1945",SIUSA,1945 mar 10,1945 lug 10,,,Sede,Sanzeno (Trento),Sede,Sanzeno (Trento),,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Rete Parri,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599861,Antifascismo e Resistenza,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Antifascismo e Resistenza,
Centro studi per l'autonomia regionale - CSAR,,,corporateBody,,,"Centro studi per l'autonomia regionale - CSAR, Trento, 1945 - 1946",SIUSA,1945 lug 22,1946 feb 19,,,Sede,Trento,Sede,Trento,,pubblico,comitato di liberazione nazionale e organizzazione della Resistenza,,,ca-599861,Rete Parri,
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Alfredo,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di morte,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Como,luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di morte,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Como,insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),insegnante,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),giornalista,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Degasperi,,,person,Alfredo,Degasperi,"Degasperi, Alfredo, insegnante, giornalista, scrittore, (Bregenz 1891 - Como 1974)",SIUSA,,,1891,1974 feb 26,luogo di nascita,Bregenz (Austria),luogo di nascita,Bregenz (Austria),scrittore,,,,maschile,ca-599821,Rete Parri,"S. BENVENUTI, Alfredo Degasperi: dall'esperienza de «La Voce Trentina» alla parabola fascista, in «Archivio trentino» 1998, 2, pp. 147-180"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Oreste,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di morte,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Bellinzona (Svizzera),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
Ferrari,,,person,Oreste,Ferrari,"Ferrari, Oreste, antifascista, (Ledro 1890 - Bellinzona 1962)",SIUSA,,,1890 mag 05,1962 feb 10,luogo di nascita,Ledro (Trento),luogo di nascita,Ledro (Trento),Antifascista,,,,maschile,ca-599855,Antifascismo e Resistenza,"G. FAUSTINI, Oreste Ferrari, in «Studi trentini di scienze storiche. Sezione prima», 2008, 3, pp. 455-463"
